"","time","A","P","DOC","I0","SA","zmix","zmax","Pin","DOCin","V_lake","V_epi","V_ratio","Qin","kDOC","kA","lA","pA","hA","mA","decay","cA","v","rec","Permanent_Identifier"
"33",10000,31.6047038645179,1.88721526982272,1.78211069123348,112.207634811401,58000,4.79693623881615,4.79693623881615,7.36986,5.22131127880404,185481.534567558,185481.534567558,1,85.6493150684931,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47722599"
"34",10000,1.85799659875147e-22,1.26460630605937,0.623340375673777,112.207634811401,106000,8.53426873234937,10.6312625942624,0.890043400810339,3.92242355295532,751275.889994542,603088.323752689,0.802752133782797,125.656001127524,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47721987"
"35",10000,26.1338223891941,1.84406465489247,1.60471729118618,119.97566204071,22000,6.12606694007066,6.12606694007066,9.06558,7.04764498033966,89848.981787703,89848.981787703,1,23.5671232876712,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61761581"
"36",10000,63.5720668151163,2.00035995855192,2.40513283602289,106.870619068146,23000,3.16568229249674,3.16568229249674,14.3484,7.43814103839772,48540.4618182833,48540.4618182833,1,20.6684931506849,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61773959"
"37",10000,0.356400360504746,1.7337052820433,0.306257956226406,72.0268140697479,2000,5.35597889918816,11.1355832767146,0.925398300760529,3.72779066783197,14847.4443689528,7141.30519891754,0.480978747686074,1.13590049453533,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"167101238"
"38",10000,5.5798173184313e-17,1.47708845832395,0.513793478855893,85.7775335884094,278000,9.70042792404627,11.6197825695417,0.707810561037566,3.54249645637447,2153533.03622174,1797812.64192324,0.834820089445859,323.004472087403,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47719989"
"39",10000,4.03943173255713e-31,1.13510212413628,0.427408194572681,103.992577610016,290000,9.4037147625528,12.2,0.251356670825284,3.49061761132678,2358666.66666667,1818051.52076021,0.770796292012524,289.671581850296,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47725937"
"40",10000,2.26608483098758e-19,2.46882952374106,2.01777791871425,75.6445142745972,38000,3.78898706611305,3.78898706611305,2.44575,5.28184028748325,95987.6723415306,95987.6723415306,1,52.8876712328767,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47720790"
"41",10000,24.0381154542197,2.43904069312784,0.351536063417502,59.110018787384,53000,5.26967068473856,5.26967068473856,9.19602,1.54863156255238,186195.030860763,186195.030860763,1,48.6438356164384,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"52847631"
"42",10000,3.45845952088873e-323,1.36952748814786,2.58012686602153,71.7972802829742,21000,3.16591348002866,3.16591348002866,1.33701,5.98087728928918,44322.7887204012,44322.7887204012,1,29.9753424657534,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"167101371"
